Data,Produto,Categoria,Vendedor,Quantidade,Preco_Unitario
09/03/2026,Notebook Pro,Eletrônicos,Carlos,1,3499.9
05/06/2026,Luminária LED,Casa,Amanda,2,119.9
05/04/2026,Notebook Pro,Eletrônicos,Rafael,1,3499.9
22/07/2026,Notebook Pro,Eletrônicos,Rafael,1,3499.9
16/01/2026,Monitor 27,Eletrônicos,Beatriz,3,1299.9
10/03/2026,Mouse Wireless,Acessórios,Lucas,1,129.9
31/08/2026,Luminária LED,Casa,Amanda,5,119.9
15/05/2026,Monitor 27,Eletrônicos,Rafael,1,1299.9
12/08/2026,Monitor 27,Eletrônicos,Amanda,5,1299.9
30/05/2026,Smartphone X,Eletrônicos,Beatriz,4,2199.9
14/07/2026,Smartphone X,Eletrônicos,Amanda,2,2199.9
31/05/2026,Webcam HD,Acessórios,Beatriz,5,219.9
10/06/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
21/01/2026,Headset Gamer,Acessórios,Carlos,2,279.9
27/06/2026,Luminária LED,Casa,Beatriz,1,119.9
31/05/2026,Webcam HD,Acessórios,Lucas,4,219.9
22/01/2026,Luminária LED,Casa,Amanda,2,119.9
14/06/2026,Headset Gamer,Acessórios,Carlos,4,279.9
07/04/2026,Mesa Escritório,Móveis,Rafael,2,749.9
29/06/2026,Teclado Mecânico,Acessórios,Beatriz,1,349.9
01/05/2026,Mouse Wireless,Acessórios,Amanda,5,129.9
25/04/2026,Cadeira Office,Móveis,Carlos,1,899.9
09/07/2026,Smartphone X,Eletrônicos,Amanda,1,2199.9
06/07/2026,Webcam HD,Acessórios,Amanda,3,219.9
12/05/2026,Teclado Mecânico,Acessórios,Carlos,3,349.9
11/07/2026,Teclado Mecânico,Acessórios,Carlos,4,349.9
06/03/2026,Mesa Escritório,Móveis,Lucas,1,749.9
11/03/2026,Monitor 27,Eletrônicos,Beatriz,4,1299.9
17/07/2026,Teclado Mecânico,Acessórios,Beatriz,3,349.9
12/03/2026,Webcam HD,Acessórios,Lucas,1,219.9
02/06/2026,Teclado Mecânico,Acessórios,Carlos,3,349.9
01/05/2026,Cadeira Office,Móveis,Lucas,4,899.9
29/04/2026,Cadeira Office,Móveis,Carlos,5,899.9
15/07/2026,Notebook Pro,Eletrônicos,Lucas,4,3499.9
01/02/2026,Teclado Mecânico,Acessórios,Rafael,4,349.9
14/07/2026,Monitor 27,Eletrônicos,Amanda,4,1299.9
18/01/2026,Luminária LED,Casa,Lucas,4,119.9
26/08/2026,Smartphone X,Eletrônicos,Rafael,4,2199.9
22/08/2026,Notebook Pro,Eletrônicos,Carlos,4,3499.9
10/07/2026,Webcam HD,Acessórios,Beatriz,4,219.9
25/08/2026,Mouse Wireless,Acessórios,Rafael,5,129.9
01/07/2026,Luminária LED,Casa,Amanda,3,119.9
26/08/2026,Mouse Wireless,Acessórios,Carlos,2,129.9
27/07/2026,Teclado Mecânico,Acessórios,Beatriz,2,349.9
10/08/2026,Cadeira Office,Móveis,Lucas,4,899.9
16/01/2026,Luminária LED,Casa,Carlos,1,119.9
23/02/2026,Teclado Mecânico,Acessórios,Beatriz,5,349.9
19/06/2026,Luminária LED,Casa,Amanda,1,119.9
20/01/2026,Mouse Wireless,Acessórios,Carlos,2,129.9
26/02/2026,Teclado Mecânico,Acessórios,Beatriz,2,349.9
18/06/2026,Smartphone X,Eletrônicos,Beatriz,2,2199.9
24/05/2026,Mesa Escritório,Móveis,Carlos,3,749.9
25/03/2026,Teclado Mecânico,Acessórios,Beatriz,2,349.9
22/03/2026,Mesa Escritório,Móveis,Rafael,2,749.9
06/05/2026,Monitor 27,Eletrônicos,Beatriz,1,1299.9
15/06/2026,Mouse Wireless,Acessórios,Lucas,3,129.9
05/08/2026,Cadeira Office,Móveis,Rafael,2,899.9
06/07/2026,Headset Gamer,Acessórios,Rafael,4,279.9
22/06/2026,Mouse Wireless,Acessórios,Carlos,5,129.9
11/07/2026,Teclado Mecânico,Acessórios,Amanda,3,349.9
26/04/2026,Webcam HD,Acessórios,Carlos,4,219.9
16/04/2026,Headset Gamer,Acessórios,Beatriz,3,279.9
09/05/2026,Mesa Escritório,Móveis,Rafael,2,749.9
04/06/2026,Headset Gamer,Acessórios,Beatriz,5,279.9
02/08/2026,Mesa Escritório,Móveis,Carlos,1,749.9
24/07/2026,Smartphone X,Eletrônicos,Lucas,4,2199.9
30/01/2026,Webcam HD,Acessórios,Lucas,1,219.9
23/05/2026,Cadeira Office,Móveis,Lucas,4,899.9
01/02/2026,Cadeira Office,Móveis,Beatriz,3,899.9
10/05/2026,Teclado Mecânico,Acessórios,Beatriz,3,349.9
10/05/2026,Monitor 27,eletrônicos,Rafael,1,1299.9
10/08/2026,Headset Gamer,Acessórios,Rafael,2,279.9
15/02/2026,Teclado Mecânico,Acessórios,Carlos,3,349.9
01/08/2026,Monitor 27,Eletrônicos,Amanda,1,1299.9
31/08/2026,Cadeira Office,Móveis,Carlos,2,899.9
22/02/2026,Notebook Pro,Eletrônicos,Rafael,5,3499.9
23/06/2026,Teclado Mecânico,Acessórios,Lucas,1,349.9
10/07/2026,Webcam HD,Acessórios,Carlos,3,219.9
16/05/2026,Mesa Escritório,Móveis,Beatriz,2,749.9
